"Date","Manip","Area","AirTemperature","PAR","RH","VPD"
2013-01-23 00:15:00,"ZA13","01_p",11.6,0,55.8,0.605956844334178
2013-01-23 00:15:00,"ZA13","02_p",12,0,54.4,0.641875973613312
2013-01-23 00:15:00,"ZA13","04_p",11.6,0,57,0.589505527293431
2013-01-23 00:15:00,"ZA13","05_p",11.6,0,56.1,0.601844015073991
2013-01-23 00:15:00,"ZA13","06_p",11.9,0,55.7,0.619479146718433
2013-01-23 00:30:00,"ZA13","01_p",11.7,0,56,0.607214618978294
2013-01-23 00:30:00,"ZA13","02_p",12,0,54.4,0.641875973613312
2013-01-23 00:30:00,"ZA13","04_p",11.8,0,57.1,0.59595666356995
2013-01-23 00:30:00,"ZA13","05_p",11.6,0,56,0.60321495816072
2013-01-23 00:30:00,"ZA13","06_p",11.9,0,55.7,0.619479146718433
2013-01-23 00:45:00,"ZA13","01_p",11.7,0,56,0.607214618978294
2013-01-23 00:45:00,"ZA13","02_p",12.1,0,54.7,0.641867709221782
2013-01-23 00:45:00,"ZA13","04_p",11.6,0,57,0.589505527293431
2013-01-23 00:45:00,"ZA13","05_p",11.5,0.6,56.2,0.596514694155362
2013-01-23 00:45:00,"ZA13","06_p",11.9,0,55.7,0.619479146718433
2013-01-23 01:00:00,"ZA13","01_p",11.7,0,56.2,0.604454552528392
2013-01-23 01:00:00,"ZA13","02_p",11.9,0,54.9,0.630666129051948
2013-01-23 01:00:00,"ZA13","04_p",11.6,0,57.1,0.588134584206702
2013-01-23 01:00:00,"ZA13","05_p",11.5,0,56.2,0.596514694155362
2013-01-23 01:00:00,"ZA13","06_p",11.9,0.1,55.7,0.619479146718433
2013-01-23 01:15:00,"ZA13","01_p",11.7,0,56.3,0.603074519303442
2013-01-23 01:15:00,"ZA13","02_p",11.9,0,55,0.629267756260259
2013-01-23 01:15:00,"ZA13","04_p",11.5,0,57.1,0.584257542905594
2013-01-23 01:15:00,"ZA13","05_p",11.6,0,56,0.60321495816072
2013-01-23 01:15:00,"ZA13","06_p",11.8,0,55.6,0.616794309149319
2013-01-23 01:30:00,"ZA13","01_p",11.7,0,56.2,0.604454552528392
2013-01-23 01:30:00,"ZA13","02_p",12,0,55.1,0.632022614369248
2013-01-23 01:30:00,"ZA13","04_p",11.5,0,57.2,0.582895637211176
2013-01-23 01:30:00,"ZA13","05_p",11.5,0,56.2,0.596514694155362
2013-01-23 01:30:00,"ZA13","06_p",11.8,0.1,55.7,0.615405132777361
2013-01-23 01:45:00,"ZA13","01_p",11.7,0,56.3,0.603074519303442
2013-01-23 01:45:00,"ZA13","02_p",12,0,54.9,0.634837859867552
2013-01-23 01:45:00,"ZA13","04_p",11.5,0,57.3,0.581533731516757
2013-01-23 01:45:00,"ZA13","05_p",11.5,0,56.2,0.596514694155362
2013-01-23 01:45:00,"ZA13","06_p",11.8,0.1,55.8,0.614015956405403
2013-01-23 02:00:00,"ZA13","01_p",11.5,0,56.4,0.593790882766525
2013-01-23 02:00:00,"ZA13","02_p",11.9,0,55.1,0.627869383468569
2013-01-23 02:00:00,"ZA13","04_p",11.5,0,57.4,0.580171825822338
2013-01-23 02:00:00,"ZA13","05_p",11.5,0,56.3,0.595152788460943
2013-01-23 02:00:00,"ZA13","06_p",11.8,0.1,55.8,0.614015956405403
2013-01-23 02:15:00,"ZA13","01_p",11.7,0,56.6,0.59893441962859
2013-01-23 02:15:00,"ZA13","02_p",11.9,0,55.4,0.623674265093501
2013-01-23 02:15:00,"ZA13","04_p",11.4,0,57.5,0.574991334138158
2013-01-23 02:15:00,"ZA13","05_p",11.4,0.3,56.4,0.58987346278644
2013-01-23 02:15:00,"ZA13","06_p",11.7,0.5,56,0.607214618978294
2013-01-23 02:30:00,"ZA13","01_p",11.6,0,56.8,0.592247413466889
2013-01-23 02:30:00,"ZA13","02_p",11.8,0,55.7,0.615405132777361
2013-01-23 02:30:00,"ZA13","04_p",11.5,0,57.7,0.576086108739083
2013-01-23 02:30:00,"ZA13","05_p",11.4,0,56.7,0.585814700427817
2013-01-23 02:30:00,"ZA13","06_p",11.9,0.7,56,0.615284028343364
2013-01-23 02:45:00,"ZA13","01_p",11.4,0,56.7,0.585814700427817
2013-01-23 02:45:00,"ZA13","02_p",11.9,0,55.5,0.622275892301812
2013-01-23 02:45:00,"ZA13","04_p",11.5,0,57.8,0.574724203044664
2013-01-23 02:45:00,"ZA13","05_p",11.4,0.2,56.7,0.585814700427817
2013-01-23 02:45:00,"ZA13","06_p",11.7,0.1,56.2,0.604454552528392
2013-01-23 03:00:00,"ZA13","01_p",11.5,0,56.9,0.586981354294432
2013-01-23 03:00:00,"ZA13","02_p",11.9,0,55.6,0.620877519510122
2013-01-23 03:00:00,"ZA13","04_p",11.5,0,57.9,0.573362297350245
2013-01-23 03:00:00,"ZA13","05_p",11.4,0,56.7,0.585814700427817
2013-01-23 03:00:00,"ZA13","06_p",11.6,0,56.2,0.600473071987262
2013-01-23 03:15:00,"ZA13","01_p",11.4,0,57,0.581755938069195
2013-01-23 03:15:00,"ZA13","02_p",12,0,55.5,0.62639212337264
2013-01-23 03:15:00,"ZA13","04_p",11.2,0,58,0.560745099651079
2013-01-23 03:15:00,"ZA13","05_p",11.3,0,56.8,0.580602859779451
2013-01-23 03:15:00,"ZA13","06_p",11.7,0.1,56.4,0.601694486078491
2013-01-23 03:30:00,"ZA13","01_p",11.4,0,57,0.581755938069195
2013-01-23 03:30:00,"ZA13","02_p",11.6,0,55.8,0.605956844334178
2013-01-23 03:30:00,"ZA13","04_p",11.5,0,58,0.572000391655827
2013-01-23 03:30:00,"ZA13","05_p",11.4,0,57.1,0.580403017282988
2013-01-23 03:30:00,"ZA13","06_p",11.7,0,56.4,0.601694486078491
2013-01-23 03:45:00,"ZA13","01_p",11.3,0,57.1,0.576570895475427
2013-01-23 03:45:00,"ZA13","02_p",11.8,0,55.6,0.616794309149319
2013-01-23 03:45:00,"ZA13","04_p",11.3,0,58.1,0.563131014462013
2013-01-23 03:45:00,"ZA13","05_p",11.4,0,56.9,0.583108858855403
2013-01-23 03:45:00,"ZA13","06_p",11.6,0,56.4,0.597731185813804
2013-01-23 04:00:00,"ZA13","01_p",11.4,0,57.1,0.580403017282988
2013-01-23 04:00:00,"ZA13","02_p",11.8,0,55.5,0.618183485521277
2013-01-23 04:00:00,"ZA13","04_p",11.4,0,58.1,0.566873809420913
2013-01-23 04:00:00,"ZA13","05_p",11.2,0,56.9,0.575431280832417
2013-01-23 04:00:00,"ZA13","06_p",11.7,0.2,56.4,0.601694486078491
2013-01-23 04:15:00,"ZA13","01_p",11.3,0,57.1,0.576570895475427
2013-01-23 04:15:00,"ZA13","02_p",11.8,0,55.6,0.616794309149319
2013-01-23 04:15:00,"ZA13","04_p",11.3,0,57.9,0.565818990664696
2013-01-23 04:15:00,"ZA13","05_p",11.3,1,56.9,0.579258871678109
2013-01-23 04:15:00,"ZA13","06_p",11.6,0.2,56.3,0.599102128900533
2013-01-23 04:30:00,"ZA13","01_p",11.3,0,57.4,0.572538931171403
2013-01-23 04:30:00,"ZA13","02_p",11.5,0,56.2,0.596514694155362
2013-01-23 04:30:00,"ZA13","04_p",11.2,0,58.3,0.556739777510714
2013-01-23 04:30:00,"ZA13","05_p",11.2,0,57.2,0.571425958692052
