Pot,Manip,Area,Scenario,Sowing,Harvesting
1,ZA13,01_p,WW,2013-01-24,2013-03-13
2,ZA13,01_p,WW,2013-01-24,2013-03-13
3,ZA13,01_p,WW,2013-01-24,2013-03-13
4,ZA13,01_p,WW,2013-01-24,2013-03-13
5,ZA13,01_p,WW,2013-01-24,2013-03-13
6,ZA13,01_p,WW,2013-01-24,2013-03-13
7,ZA13,01_p,WW,2013-01-24,2013-03-13
8,ZA13,01_p,WW,2013-01-24,2013-03-13
9,ZA13,01_p,WW,2013-01-24,2013-03-13
10,ZA13,01_p,WW,2013-01-24,2013-03-13
11,ZA13,01_p,WW,2013-01-24,2013-03-13
12,ZA13,01_p,WW,2013-01-24,2013-03-13
13,ZA13,01_p,WW,2013-01-24,2013-03-13
14,ZA13,01_p,WW,2013-01-24,2013-03-13
15,ZA13,01_p,WW,2013-01-24,2013-03-13
16,ZA13,01_p,WW,2013-01-24,2013-03-13
17,ZA13,01_p,WW,2013-01-24,2013-03-13
18,ZA13,01_p,WW,2013-01-24,2013-03-13
19,ZA13,01_p,WW,2013-01-24,2013-03-13
20,ZA13,01_p,WW,2013-01-24,2013-03-13
21,ZA13,01_p,WW,2013-01-24,2013-03-13
22,ZA13,01_p,WW,2013-01-24,2013-03-13
23,ZA13,01_p,WW,2013-01-24,2013-03-13
24,ZA13,01_p,WW,2013-01-24,2013-03-13
25,ZA13,01_p,WW,2013-01-24,2013-03-13
26,ZA13,01_p,WW,2013-01-24,2013-03-13
27,ZA13,01_p,WW,2013-01-24,2013-03-13
28,ZA13,01_p,WW,2013-01-24,2013-03-13
29,ZA13,01_p,WW,2013-01-24,2013-03-13
30,ZA13,01_p,WW,2013-01-24,2013-03-13
31,ZA13,04_p,WW,2013-01-24,2013-03-13
32,ZA13,04_p,WW,2013-01-24,2013-03-13
33,ZA13,04_p,WW,2013-01-24,2013-03-13
34,ZA13,04_p,WW,2013-01-24,2013-03-13
35,ZA13,04_p,WW,2013-01-24,2013-03-13
36,ZA13,04_p,WW,2013-01-24,2013-03-13
37,ZA13,04_p,WW,2013-01-24,2013-03-13
38,ZA13,04_p,WW,2013-01-24,2013-03-13
39,ZA13,04_p,WW,2013-01-24,2013-03-13
40,ZA13,04_p,WW,2013-01-24,2013-03-13
41,ZA13,04_p,WW,2013-01-24,2013-03-13
42,ZA13,04_p,WW,2013-01-24,2013-03-13
43,ZA13,04_p,WW,2013-01-24,2013-03-13
44,ZA13,04_p,WW,2013-01-24,2013-03-13
45,ZA13,04_p,WW,2013-01-24,2013-03-13
46,ZA13,04_p,WW,2013-01-24,2013-03-13
47,ZA13,04_p,WW,2013-01-24,2013-03-13
48,ZA13,04_p,WW,2013-01-24,2013-03-13
49,ZA13,04_p,WW,2013-01-24,2013-03-13
50,ZA13,04_p,WW,2013-01-24,2013-03-13
51,ZA13,04_p,WW,2013-01-24,2013-03-13
52,ZA13,04_p,WW,2013-01-24,2013-03-13
53,ZA13,04_p,WW,2013-01-24,2013-03-13
54,ZA13,04_p,WW,2013-01-24,2013-03-13
55,ZA13,04_p,WW,2013-01-24,2013-03-13
56,ZA13,04_p,WW,2013-01-24,2013-03-13
57,ZA13,04_p,WW,2013-01-24,2013-03-13
58,ZA13,04_p,WW,2013-01-24,2013-03-13
59,ZA13,04_p,WW,2013-01-24,2013-03-13
60,ZA13,04_p,WW,2013-01-24,2013-03-13
61,ZA13,01_p,WW,2013-01-24,2013-03-13
62,ZA13,01_p,WW,2013-01-24,2013-03-13
63,ZA13,01_p,WW,2013-01-24,2013-03-13
64,ZA13,01_p,WW,2013-01-24,2013-03-13
65,ZA13,01_p,WW,2013-01-24,2013-03-13
